Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
STC-01 Login to the system,Chrome 65.0.3325.181,,2018-03-26 01:09:30,2018-03-26 01:10:16,46.082s,FAILED
,,,,,,
Test Cases/Login_BlankEmailFilledPassword_MessagePleaseFill,Chrome 65.0.3325.181,,2018-03-26 01:09:30,2018-03-26 01:09:39,8.473s,FAILED
openBrowser,Chrome 65.0.3325.181,,2018-03-26 01:09:31,2018-03-26 01:09:34,3.791s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-03-26 01:09:34,2018-03-26 01:09:38,3.225s,PASSED
click,Chrome 65.0.3325.181,,2018-03-26 01:09:38,2018-03-26 01:09:38,0.164s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-26 01:09:38,2018-03-26 01:09:38,0.147s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-26 01:09:38,2018-03-26 01:09:38,0.162s,PASSED
click,Chrome 65.0.3325.181,,2018-03-26 01:09:38,2018-03-26 01:09:38,0.085s,PASSED
waitForPageLoad,Chrome 65.0.3325.181,,2018-03-26 01:09:38,2018-03-26 01:09:38,0.049s,PASSED
verifyTextPresent,Chrome 65.0.3325.181,,2018-03-26 01:09:38,2018-03-26 01:09:39,0.478s,FAILED
,,,,,,
Test Cases/Login_CorrectAdminInformation_RedirectToAdminMain,Chrome 65.0.3325.181,,2018-03-26 01:09:39,2018-03-26 01:09:45,6.018s,FAILED
openBrowser,Chrome 65.0.3325.181,,2018-03-26 01:09:39,2018-03-26 01:09:42,3.232s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-03-26 01:09:42,2018-03-26 01:09:44,1.548s,PASSED
click,Chrome 65.0.3325.181,,2018-03-26 01:09:44,2018-03-26 01:09:44,0.091s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-26 01:09:44,2018-03-26 01:09:44,0.183s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-26 01:09:44,2018-03-26 01:09:44,0.145s,PASSED
click,Chrome 65.0.3325.181,,2018-03-26 01:09:44,2018-03-26 01:09:44,0.112s,PASSED
waitForPageLoad,Chrome 65.0.3325.181,,2018-03-26 01:09:44,2018-03-26 01:09:44,0.007s,PASSED
verifyTextPresent,Chrome 65.0.3325.181,,2018-03-26 01:09:44,2018-03-26 01:09:45,0.516s,FAILED
,,,,,,
Test Cases/Login_CorrectStudentInformation_RedirectToStudentMain,Chrome 65.0.3325.181,,2018-03-26 01:09:45,2018-03-26 01:09:49,4.805s,FAILED
openBrowser,Chrome 65.0.3325.181,,2018-03-26 01:09:45,2018-03-26 01:09:47,2.607s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-03-26 01:09:47,2018-03-26 01:09:49,1.302s,PASSED
click,Chrome 65.0.3325.181,,2018-03-26 01:09:49,2018-03-26 01:09:49,0.086s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-26 01:09:49,2018-03-26 01:09:49,0.140s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-26 01:09:49,2018-03-26 01:09:49,0.105s,PASSED
click,Chrome 65.0.3325.181,,2018-03-26 01:09:49,2018-03-26 01:09:49,0.064s,PASSED
waitForPageLoad,Chrome 65.0.3325.181,,2018-03-26 01:09:49,2018-03-26 01:09:49,0.007s,PASSED
verifyTextPresent,Chrome 65.0.3325.181,,2018-03-26 01:09:49,2018-03-26 01:09:49,0.359s,FAILED
,,,,,,
Test Cases/Login_BlankEmailPassword_MessagePleaseFill,Chrome 65.0.3325.181,,2018-03-26 01:09:49,2018-03-26 01:09:55,5.224s,FAILED
openBrowser,Chrome 65.0.3325.181,,2018-03-26 01:09:50,2018-03-26 01:09:52,2.656s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-03-26 01:09:52,2018-03-26 01:09:54,1.723s,PASSED
click,Chrome 65.0.3325.181,,2018-03-26 01:09:54,2018-03-26 01:09:54,0.098s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-26 01:09:54,2018-03-26 01:09:54,0.090s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-26 01:09:54,2018-03-26 01:09:54,0.093s,PASSED
click,Chrome 65.0.3325.181,,2018-03-26 01:09:54,2018-03-26 01:09:54,0.065s,PASSED
waitForPageLoad,Chrome 65.0.3325.181,,2018-03-26 01:09:54,2018-03-26 01:09:54,0.006s,PASSED
verifyTextPresent,Chrome 65.0.3325.181,,2018-03-26 01:09:54,2018-03-26 01:09:55,0.355s,FAILED
,,,,,,
Test Cases/Login_CorrectTeacherInformation_RedirectToTeacherMain,Chrome 65.0.3325.181,,2018-03-26 01:09:55,2018-03-26 01:10:00,5.585s,FAILED
openBrowser,Chrome 65.0.3325.181,,2018-03-26 01:09:55,2018-03-26 01:09:57,2.677s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-03-26 01:09:57,2018-03-26 01:09:59,2.000s,PASSED
click,Chrome 65.0.3325.181,,2018-03-26 01:09:59,2018-03-26 01:10:00,0.096s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-26 01:10:00,2018-03-26 01:10:00,0.146s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-26 01:10:00,2018-03-26 01:10:00,0.101s,PASSED
click,Chrome 65.0.3325.181,,2018-03-26 01:10:00,2018-03-26 01:10:00,0.096s,PASSED
waitForPageLoad,Chrome 65.0.3325.181,,2018-03-26 01:10:00,2018-03-26 01:10:00,0.007s,PASSED
verifyTextPresent,Chrome 65.0.3325.181,,2018-03-26 01:10:00,2018-03-26 01:10:00,0.343s,FAILED
,,,,,,
Test Cases/Login_FilledEmailBlankPassword_MessagePleaseFill,Chrome 65.0.3325.181,,2018-03-26 01:10:00,2018-03-26 01:10:05,4.549s,FAILED
openBrowser,Chrome 65.0.3325.181,,2018-03-26 01:10:00,2018-03-26 01:10:03,2.570s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-03-26 01:10:03,2018-03-26 01:10:04,1.141s,PASSED
click,Chrome 65.0.3325.181,,2018-03-26 01:10:04,2018-03-26 01:10:04,0.080s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-26 01:10:04,2018-03-26 01:10:04,0.136s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-26 01:10:04,2018-03-26 01:10:04,0.079s,PASSED
click,Chrome 65.0.3325.181,,2018-03-26 01:10:04,2018-03-26 01:10:04,0.070s,PASSED
waitForPageLoad,Chrome 65.0.3325.181,,2018-03-26 01:10:04,2018-03-26 01:10:04,0.006s,PASSED
verifyTextPresent,Chrome 65.0.3325.181,,2018-03-26 01:10:04,2018-03-26 01:10:05,0.360s,FAILED
,,,,,,
Test Cases/Login_IncorrectEmailFormat_MessageIncorrect,Chrome 65.0.3325.181,,2018-03-26 01:10:05,2018-03-26 01:10:10,5.442s,FAILED
openBrowser,Chrome 65.0.3325.181,,2018-03-26 01:10:05,2018-03-26 01:10:08,2.711s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-03-26 01:10:08,2018-03-26 01:10:09,1.822s,PASSED
click,Chrome 65.0.3325.181,,2018-03-26 01:10:09,2018-03-26 01:10:10,0.094s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-26 01:10:10,2018-03-26 01:10:10,0.122s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-26 01:10:10,2018-03-26 01:10:10,0.120s,PASSED
click,Chrome 65.0.3325.181,,2018-03-26 01:10:10,2018-03-26 01:10:10,0.073s,PASSED
waitForPageLoad,Chrome 65.0.3325.181,,2018-03-26 01:10:10,2018-03-26 01:10:10,0.007s,PASSED
verifyTextPresent,Chrome 65.0.3325.181,,2018-03-26 01:10:10,2018-03-26 01:10:10,0.374s,FAILED
,,,,,,
Test Cases/Login_IncorrectPassword_MessageIncorrect,Chrome 65.0.3325.181,,2018-03-26 01:10:10,2018-03-26 01:10:15,4.907s,FAILED
openBrowser,Chrome 65.0.3325.181,,2018-03-26 01:10:10,2018-03-26 01:10:13,2.668s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-03-26 01:10:13,2018-03-26 01:10:14,1.329s,PASSED
click,Chrome 65.0.3325.181,,2018-03-26 01:10:14,2018-03-26 01:10:14,0.085s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-26 01:10:14,2018-03-26 01:10:15,0.137s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-26 01:10:15,2018-03-26 01:10:15,0.117s,PASSED
click,Chrome 65.0.3325.181,,2018-03-26 01:10:15,2018-03-26 01:10:15,0.098s,PASSED
waitForPageLoad,Chrome 65.0.3325.181,,2018-03-26 01:10:15,2018-03-26 01:10:15,0.007s,PASSED
verifyTextPresent,Chrome 65.0.3325.181,,2018-03-26 01:10:15,2018-03-26 01:10:15,0.351s,FAILED
