Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
STC-03 Create a course,Chrome 65.0.3325.181,,2561-03-29 04:25:39,2561-03-29 04:26:15,35.766s,PASSED
,,,,,,
Test Cases/Create_Course_AllCorrectInformation_MessageSuccess,Chrome 65.0.3325.181,,2561-03-29 04:25:40,2561-03-29 04:25:46,6.006s,PASSED
openBrowser,Chrome 65.0.3325.181,,2561-03-29 04:25:40,2561-03-29 04:25:43,2.650s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2561-03-29 04:25:43,2561-03-29 04:25:44,1.054s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-29 04:25:44,2561-03-29 04:25:44,0.191s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-29 04:25:44,2561-03-29 04:25:44,0.239s,PASSED
click,Chrome 65.0.3325.181,,2561-03-29 04:25:44,2561-03-29 04:25:44,0.105s,PASSED
selectOptionByValue,Chrome 65.0.3325.181,,2561-03-29 04:25:44,2561-03-29 04:25:44,0.303s,PASSED
click,Chrome 65.0.3325.181,,2561-03-29 04:25:44,2561-03-29 04:25:44,0.067s,PASSED
click,Chrome 65.0.3325.181,,2561-03-29 04:25:44,2561-03-29 04:25:45,0.037s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-29 04:25:45,2561-03-29 04:25:45,0.087s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-29 04:25:45,2561-03-29 04:25:45,0.090s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-29 04:25:45,2561-03-29 04:25:45,0.083s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-29 04:25:45,2561-03-29 04:25:45,0.127s,PASSED
click,Chrome 65.0.3325.181,,2561-03-29 04:25:45,2561-03-29 04:25:45,0.071s,PASSED
verifyAlertPresent,Chrome 65.0.3325.181,,2561-03-29 04:25:45,2561-03-29 04:25:45,0.010s,PASSED
acceptAlert,Chrome 65.0.3325.181,,2561-03-29 04:25:45,2561-03-29 04:25:45,0.014s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2561-03-29 04:25:45,2561-03-29 04:25:46,0.637s,PASSED
,,,,,,
Test Cases/Create_Course_BlankAcademicYear_MessagePleaseFill,Chrome 65.0.3325.181,,2561-03-29 04:25:46,2561-03-29 04:25:50,4.118s,PASSED
openBrowser,Chrome 65.0.3325.181,,2561-03-29 04:25:46,2561-03-29 04:25:48,1.955s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2561-03-29 04:25:48,2561-03-29 04:25:48,0.517s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-29 04:25:48,2561-03-29 04:25:48,0.133s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-29 04:25:48,2561-03-29 04:25:48,0.118s,PASSED
click,Chrome 65.0.3325.181,,2561-03-29 04:25:48,2561-03-29 04:25:49,0.063s,PASSED
click,Chrome 65.0.3325.181,,2561-03-29 04:25:49,2561-03-29 04:25:49,0.066s,PASSED
click,Chrome 65.0.3325.181,,2561-03-29 04:25:49,2561-03-29 04:25:49,0.039s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-29 04:25:49,2561-03-29 04:25:49,0.088s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-29 04:25:49,2561-03-29 04:25:49,0.099s,PASSED
