Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
STC-05 Enroll in a course,Chrome 65.0.3325.181,,2018-03-26 02:04:44,2018-03-26 02:04:59,15.119s,FAILED
,,,,,,
Test Cases/Enrollcourse_enrollsuccess,Chrome 65.0.3325.181,,2018-03-26 02:04:44,2018-03-26 02:04:49,4.697s,FAILED
openBrowser,Chrome 65.0.3325.181,,2018-03-26 02:04:45,2018-03-26 02:04:48,2.838s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-03-26 02:04:48,2018-03-26 02:04:49,1.110s,PASSED
click,Chrome 65.0.3325.181,,2018-03-26 02:04:49,2018-03-26 02:04:49,0.131s,PASSED
click,Chrome 65.0.3325.181,,2018-03-26 02:04:49,2018-03-26 02:04:49,0.368s,FAILED
,,,,,,
Test Cases/Enrollcourse_courseisalreadyfull,Chrome 65.0.3325.181,,2018-03-26 02:04:49,2018-03-26 02:04:55,5.629s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-26 02:04:49,2018-03-26 02:04:52,2.567s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-03-26 02:04:52,2018-03-26 02:04:53,1.349s,PASSED
click,Chrome 65.0.3325.181,,2018-03-26 02:04:53,2018-03-26 02:04:53,0.099s,PASSED
click,Chrome 65.0.3325.181,,2018-03-26 02:04:53,2018-03-26 02:04:54,0.587s,PASSED
click,Chrome 65.0.3325.181,,2018-03-26 02:04:54,2018-03-26 02:04:54,0.099s,PASSED
click,Chrome 65.0.3325.181,,2018-03-26 02:04:54,2018-03-26 02:04:54,0.080s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2018-03-26 02:04:54,2018-03-26 02:04:54,0.043s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-03-26 02:04:54,2018-03-26 02:04:55,0.662s,PASSED
,,,,,,
Test Cases/Enrollcourse_cancelconfirmation,Chrome 65.0.3325.181,,2018-03-26 02:04:55,2018-03-26 02:04:59,4.454s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-26 02:04:55,2018-03-26 02:04:57,1.916s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-03-26 02:04:57,2018-03-26 02:04:58,1.187s,PASSED
click,Chrome 65.0.3325.181,,2018-03-26 02:04:58,2018-03-26 02:04:58,0.089s,PASSED
click,Chrome 65.0.3325.181,,2018-03-26 02:04:58,2018-03-26 02:04:58,0.101s,PASSED
click,Chrome 65.0.3325.181,,2018-03-26 02:04:58,2018-03-26 02:04:58,0.105s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-03-26 02:04:58,2018-03-26 02:04:58,0.163s,PASSED
click,Chrome 65.0.3325.181,,2018-03-26 02:04:58,2018-03-26 02:04:59,0.087s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2018-03-26 02:04:59,2018-03-26 02:04:59,0.030s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-03-26 02:04:59,2018-03-26 02:04:59,0.678s,PASSED
