Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
STC-07 Withdraw course,Chrome 65.0.3325.181,,2018-03-26 02:05:11,2018-03-26 02:05:22,10.557s,PASSED
,,,,,,
Test Cases/Withdrawcourse_success,Chrome 65.0.3325.181,,2018-03-26 02:05:12,2018-03-26 02:05:17,5.578s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-26 02:05:12,2018-03-26 02:05:15,2.837s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-03-26 02:05:15,2018-03-26 02:05:16,1.307s,PASSED
click,Chrome 65.0.3325.181,,2018-03-26 02:05:16,2018-03-26 02:05:16,0.163s,PASSED
click,Chrome 65.0.3325.181,,2018-03-26 02:05:16,2018-03-26 02:05:16,0.105s,PASSED
click,Chrome 65.0.3325.181,,2018-03-26 02:05:16,2018-03-26 02:05:16,0.097s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2018-03-26 02:05:16,2018-03-26 02:05:16,0.038s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-03-26 02:05:16,2018-03-26 02:05:17,0.692s,PASSED
,,,,,,
Test Cases/Withdrawcourse_cancelconfirmation,Chrome 65.0.3325.181,,2018-03-26 02:05:17,2018-03-26 02:05:22,4.620s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-26 02:05:17,2018-03-26 02:05:19,1.916s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-03-26 02:05:19,2018-03-26 02:05:21,1.311s,PASSED
click,Chrome 65.0.3325.181,,2018-03-26 02:05:21,2018-03-26 02:05:21,0.165s,PASSED
click,Chrome 65.0.3325.181,,2018-03-26 02:05:21,2018-03-26 02:05:21,0.100s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-03-26 02:05:21,2018-03-26 02:05:21,0.180s,PASSED
click,Chrome 65.0.3325.181,,2018-03-26 02:05:21,2018-03-26 02:05:21,0.092s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2018-03-26 02:05:21,2018-03-26 02:05:21,0.018s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-03-26 02:05:21,2018-03-26 02:05:22,0.682s,PASSED
