Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
STC-09 See GPA,Chrome 65.0.3325.181,,2561-03-28 22:59:50,2561-03-28 22:59:54,4.420s,PASSED
,,,,,,
Test Cases/See_GPA,Chrome 65.0.3325.181,,2561-03-28 22:59:50,2561-03-28 22:59:54,4.189s,PASSED
openBrowser,Chrome 65.0.3325.181,,2561-03-28 22:59:50,2561-03-28 22:59:53,2.539s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2561-03-28 22:59:53,2561-03-28 22:59:53,0.543s,PASSED
click,Chrome 65.0.3325.181,,2561-03-28 22:59:53,2561-03-28 22:59:53,0.071s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2561-03-28 22:59:53,2561-03-28 22:59:53,0.017s,PASSED
click,Chrome 65.0.3325.181,,2561-03-28 22:59:53,2561-03-28 22:59:53,0.043s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2561-03-28 22:59:53,2561-03-28 22:59:53,0.010s,PASSED
click,Chrome 65.0.3325.181,,2561-03-28 22:59:53,2561-03-28 22:59:53,0.043s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2561-03-28 22:59:53,2561-03-28 22:59:53,0.011s,PASSED
click,Chrome 65.0.3325.181,,2561-03-28 22:59:53,2561-03-28 22:59:53,0.040s,PASSED
verifyElementPresent,Chrome 65.0.3325.181,,2561-03-28 22:59:53,2561-03-28 22:59:53,0.010s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2561-03-28 22:59:53,2561-03-28 22:59:54,0.610s,PASSED
